sequence_number,rtt_ms,bytes_received,status
0,48.851,32,SUCCESS
1,43.229,32,SUCCESS
2,,0,LOST
3,60.406,32,SUCCESS
4,48.198,32,SUCCESS
5,42.882,32,SUCCESS
6,47.882,32,SUCCESS
7,54.190,32,SUCCESS
8,52.506,32,SUCCESS
9,46.808,32,SUCCESS
10,48.334,32,SUCCESS
11,43.089,32,SUCCESS
12,44.400,32,SUCCESS
13,34.217,32,SUCCESS
14,53.513,32,SUCCESS
15,52.916,32,SUCCESS
16,54.831,32,SUCCESS
17,55.970,32,SUCCESS
18,,0,LOST
19,59.892,32,SUCCESS
20,33.007,32,SUCCESS
21,35.734,32,SUCCESS
22,119.608,32,SUCCESS
23,43.913,32,SUCCESS
24,47.491,32,SUCCESS
25,48.968,32,SUCCESS
26,46.096,32,SUCCESS
27,,0,LOST
28,53.715,32,SUCCESS
29,59.354,32,SUCCESS
30,36.938,32,SUCCESS
31,,0,LOST
32,,0,LOST
33,52.014,32,SUCCESS
34,35.192,32,SUCCESS
35,,0,LOST
36,41.982,32,SUCCESS
37,42.761,32,SUCCESS
38,,0,LOST
39,34.907,32,SUCCESS
40,266.079,32,SUCCESS
41,263.545,32,SUCCESS
42,,0,LOST
43,290.587,32,SUCCESS
44,254.026,32,SUCCESS
45,279.293,32,SUCCESS
46,264.461,32,SUCCESS
47,,0,LOST
48,90.057,32,SUCCESS
49,86.864,32,SUCCESS
50,92.413,32,SUCCESS
51,89.420,32,SUCCESS
52,95.404,32,SUCCESS
53,,0,LOST
54,52.982,32,SUCCESS
55,87.407,32,SUCCESS
56,96.582,32,SUCCESS
57,86.137,32,SUCCESS
58,34.863,32,SUCCESS
59,74.371,32,SUCCESS
60,77.675,32,SUCCESS
61,73.414,32,SUCCESS
62,75.499,32,SUCCESS
63,73.601,32,SUCCESS
64,72.558,32,SUCCESS
65,69.952,32,SUCCESS
66,,0,LOST
67,52.475,32,SUCCESS
68,55.327,32,SUCCESS
69,42.266,32,SUCCESS
70,74.131,32,SUCCESS
71,42.581,32,SUCCESS
72,42.273,32,SUCCESS
73,46.850,32,SUCCESS
74,49.215,32,SUCCESS
75,,0,LOST
76,59.218,32,SUCCESS
77,42.054,32,SUCCESS
78,48.703,32,SUCCESS
79,56.532,32,SUCCESS
80,50.126,32,SUCCESS
81,35.963,32,SUCCESS
82,36.484,32,SUCCESS
83,35.213,32,SUCCESS
84,33.788,32,SUCCESS
85,162.040,32,SUCCESS
86,263.636,32,SUCCESS
87,213.019,32,SUCCESS
88,232.138,32,SUCCESS
89,232.623,32,SUCCESS
90,220.344,32,SUCCESS
91,35.949,32,SUCCESS
92,47.206,32,SUCCESS
93,43.819,32,SUCCESS
94,,0,LOST
95,40.914,32,SUCCESS
96,42.828,32,SUCCESS
97,41.138,32,SUCCESS
98,43.420,32,SUCCESS
99,47.290,32,SUCCESS
100,35.417,32,SUCCESS
101,52.327,32,SUCCESS
102,49.776,32,SUCCESS
103,75.674,32,SUCCESS
104,56.287,32,SUCCESS
105,81.843,32,SUCCESS
106,52.939,32,SUCCESS
107,74.725,32,SUCCESS
108,58.653,32,SUCCESS
109,53.517,32,SUCCESS
110,43.900,32,SUCCESS
111,60.267,32,SUCCESS
112,,0,LOST
113,45.941,32,SUCCESS
114,58.131,32,SUCCESS
115,50.352,32,SUCCESS
116,43.258,32,SUCCESS
117,,0,LOST
118,44.696,32,SUCCESS
119,43.994,32,SUCCESS
120,44.680,32,SUCCESS
121,,0,LOST
122,42.370,32,SUCCESS
123,49.256,32,SUCCESS
124,44.760,32,SUCCESS
125,50.180,32,SUCCESS
126,44.128,32,SUCCESS
127,42.721,32,SUCCESS
128,51.440,32,SUCCESS
129,55.346,32,SUCCESS
130,59.808,32,SUCCESS
131,60.786,32,SUCCESS
132,60.038,32,SUCCESS
133,57.971,32,SUCCESS
134,47.470,32,SUCCESS
135,48.822,32,SUCCESS
136,41.842,32,SUCCESS
137,,0,LOST
138,44.651,32,SUCCESS
139,42.743,32,SUCCESS
140,54.174,32,SUCCESS
141,49.783,32,SUCCESS
142,46.009,32,SUCCESS
143,45.745,32,SUCCESS
144,58.227,32,SUCCESS
145,33.160,32,SUCCESS
146,48.685,32,SUCCESS
147,52.166,32,SUCCESS
148,48.755,32,SUCCESS
149,57.091,32,SUCCESS
150,53.183,32,SUCCESS
151,44.694,32,SUCCESS
152,50.996,32,SUCCESS
153,,0,LOST
154,35.284,32,SUCCESS
155,45.191,32,SUCCESS
156,47.247,32,SUCCESS
157,49.670,32,SUCCESS
158,41.902,32,SUCCESS
159,48.523,32,SUCCESS
160,,0,LOST
161,52.060,32,SUCCESS
162,43.567,32,SUCCESS
163,63.903,32,SUCCESS
164,47.092,32,SUCCESS
165,,0,LOST
166,47.335,32,SUCCESS
167,76.279,32,SUCCESS
168,42.261,32,SUCCESS
169,50.873,32,SUCCESS
170,,0,LOST
171,42.176,32,SUCCESS
172,44.400,32,SUCCESS
173,51.669,32,SUCCESS
174,83.920,32,SUCCESS
175,60.288,32,SUCCESS
176,62.315,32,SUCCESS
177,,0,LOST
178,,0,LOST
179,44.028,32,SUCCESS
180,35.659,32,SUCCESS
181,34.012,32,SUCCESS
182,36.343,32,SUCCESS
183,151.232,32,SUCCESS
184,36.465,32,SUCCESS
185,36.415,32,SUCCESS
186,36.047,32,SUCCESS
187,34.735,32,SUCCESS
188,93.793,32,SUCCESS
189,35.700,32,SUCCESS
190,33.931,32,SUCCESS
191,51.637,32,SUCCESS
192,55.256,32,SUCCESS
193,53.906,32,SUCCESS
194,35.718,32,SUCCESS
195,35.095,32,SUCCESS
196,33.434,32,SUCCESS
197,44.355,32,SUCCESS
198,47.660,32,SUCCESS
199,42.640,32,SUCCESS
200,,0,LOST
201,42.217,32,SUCCESS
202,,0,LOST
203,41.983,32,SUCCESS
204,35.908,32,SUCCESS
205,34.008,32,SUCCESS
206,57.075,32,SUCCESS
207,35.721,32,SUCCESS
208,36.472,32,SUCCESS
209,119.518,32,SUCCESS
210,,0,LOST
211,136.560,32,SUCCESS
212,193.987,32,SUCCESS
213,252.723,32,SUCCESS
214,208.500,32,SUCCESS
215,244.454,32,SUCCESS
216,,0,LOST
217,219.036,32,SUCCESS
218,226.551,32,SUCCESS
219,231.987,32,SUCCESS
220,,0,LOST
221,189.314,32,SUCCESS
222,249.899,32,SUCCESS
223,209.096,32,SUCCESS
224,244.085,32,SUCCESS
225,265.814,32,SUCCESS
226,,0,LOST
227,231.447,32,SUCCESS
228,233.031,32,SUCCESS
229,232.409,32,SUCCESS
230,234.406,32,SUCCESS
231,248.790,32,SUCCESS
232,266.811,32,SUCCESS
233,220.902,32,SUCCESS
234,250.721,32,SUCCESS
235,264.666,32,SUCCESS
236,205.035,32,SUCCESS
237,222.977,32,SUCCESS
238,230.214,32,SUCCESS
239,233.267,32,SUCCESS
240,230.145,32,SUCCESS
241,41.368,32,SUCCESS
242,144.692,32,SUCCESS
243,200.835,32,SUCCESS
244,,0,LOST
245,236.663,32,SUCCESS
246,261.138,32,SUCCESS
247,197.647,32,SUCCESS
248,218.795,32,SUCCESS
249,229.290,32,SUCCESS
250,230.959,32,SUCCESS
251,230.025,32,SUCCESS
252,234.294,32,SUCCESS
253,244.756,32,SUCCESS
254,264.770,32,SUCCESS
255,221.803,32,SUCCESS
256,249.326,32,SUCCESS
257,,0,LOST
258,221.103,32,SUCCESS
259,229.887,32,SUCCESS
260,230.564,32,SUCCESS
261,232.333,32,SUCCESS
262,236.934,32,SUCCESS
263,,0,LOST
264,200.722,32,SUCCESS
265,237.562,32,SUCCESS
266,261.547,32,SUCCESS
267,192.507,32,SUCCESS
268,214.730,32,SUCCESS
269,229.575,32,SUCCESS
270,231.215,32,SUCCESS
271,232.188,32,SUCCESS
272,234.509,32,SUCCESS
273,241.530,32,SUCCESS
274,263.633,32,SUCCESS
275,211.037,32,SUCCESS
276,245.052,32,SUCCESS
277,263.526,32,SUCCESS
278,202.167,32,SUCCESS
279,217.914,32,SUCCESS
280,229.500,32,SUCCESS
281,229.299,32,SUCCESS
282,230.252,32,SUCCESS
283,233.967,32,SUCCESS
284,246.223,32,SUCCESS
285,243.940,32,SUCCESS
286,226.567,32,SUCCESS
287,249.516,32,SUCCESS
288,258.683,32,SUCCESS
289,208.856,32,SUCCESS
290,223.819,32,SUCCESS
291,231.935,32,SUCCESS
292,,0,LOST
293,235.314,32,SUCCESS
294,247.844,32,SUCCESS
295,264.049,32,SUCCESS
296,223.111,32,SUCCESS
297,249.556,32,SUCCESS
298,259.987,32,SUCCESS
299,,0,LOST
300,228.538,32,SUCCESS
301,248.393,32,SUCCESS
302,261.133,32,SUCCESS
303,233.889,32,SUCCESS
304,250.052,32,SUCCESS
305,206.659,32,SUCCESS
306,231.747,32,SUCCESS
307,251.999,32,SUCCESS
308,266.141,32,SUCCESS
309,226.372,32,SUCCESS
310,224.443,32,SUCCESS
311,232.535,32,SUCCESS
312,232.318,32,SUCCESS
313,233.553,32,SUCCESS
314,236.988,32,SUCCESS
315,252.852,32,SUCCESS
316,,0,LOST
317,270.181,32,SUCCESS
318,264.872,32,SUCCESS
319,208.126,32,SUCCESS
320,222.850,32,SUCCESS
321,231.695,32,SUCCESS
322,230.869,32,SUCCESS
323,243.375,32,SUCCESS
324,236.925,32,SUCCESS
325,,0,LOST
326,216.496,32,SUCCESS
327,246.775,32,SUCCESS
328,265.859,32,SUCCESS
329,206.930,32,SUCCESS
330,221.490,32,SUCCESS
331,232.089,32,SUCCESS
332,231.239,32,SUCCESS
333,231.522,32,SUCCESS
334,235.185,32,SUCCESS
335,252.463,32,SUCCESS
336,194.344,32,SUCCESS
337,,0,LOST
338,264.916,32,SUCCESS
339,,0,LOST
340,227.732,32,SUCCESS
341,231.182,32,SUCCESS
342,230.069,32,SUCCESS
343,233.971,32,SUCCESS
344,243.917,32,SUCCESS
345,264.955,32,SUCCESS
346,216.678,32,SUCCESS
347,247.698,32,SUCCESS
348,267.348,32,SUCCESS
349,220.462,32,SUCCESS
350,221.026,32,SUCCESS
351,230.115,32,SUCCESS
352,229.629,32,SUCCESS
353,252.915,32,SUCCESS
354,236.304,32,SUCCESS
355,248.537,32,SUCCESS
356,197.795,32,SUCCESS
357,225.356,32,SUCCESS
358,252.739,32,SUCCESS
359,277.103,32,SUCCESS
360,209.190,32,SUCCESS
361,227.405,32,SUCCESS
362,232.562,32,SUCCESS
363,,0,LOST
364,234.004,32,SUCCESS
365,247.419,32,SUCCESS
366,239.407,32,SUCCESS
367,224.406,32,SUCCESS
368,252.026,32,SUCCESS
369,264.583,32,SUCCESS
370,211.283,32,SUCCESS
371,225.674,32,SUCCESS
372,230.183,32,SUCCESS
373,231.599,32,SUCCESS
374,230.575,32,SUCCESS
375,34.407,32,SUCCESS
376,,0,LOST
377,35.684,32,SUCCESS
378,34.958,32,SUCCESS
379,34.957,32,SUCCESS
380,35.192,32,SUCCESS
381,33.751,32,SUCCESS
382,36.150,32,SUCCESS
383,35.766,32,SUCCESS
384,46.362,32,SUCCESS
385,34.459,32,SUCCESS
386,34.482,32,SUCCESS
387,34.734,32,SUCCESS
388,56.501,32,SUCCESS
389,34.055,32,SUCCESS
390,,0,LOST
391,34.463,32,SUCCESS
392,34.406,32,SUCCESS
393,36.546,32,SUCCESS
394,35.069,32,SUCCESS
395,35.356,32,SUCCESS
396,36.047,32,SUCCESS
397,33.177,32,SUCCESS
398,,0,LOST
399,33.677,32,SUCCESS
400,,0,LOST
401,34.439,32,SUCCESS
402,36.789,32,SUCCESS
403,,0,LOST
404,33.429,32,SUCCESS
405,35.539,32,SUCCESS
406,34.450,32,SUCCESS
407,35.260,32,SUCCESS
408,35.880,32,SUCCESS
409,35.222,32,SUCCESS
410,36.262,32,SUCCESS
411,146.766,32,SUCCESS
412,204.017,32,SUCCESS
413,263.690,32,SUCCESS
414,215.943,32,SUCCESS
415,249.364,32,SUCCESS
416,,0,LOST
417,36.164,32,SUCCESS
418,97.022,32,SUCCESS
419,152.180,32,SUCCESS
420,,0,LOST
421,206.668,32,SUCCESS
