sequence_number,rtt_ms,bytes_received,status
0,31.368,28,SUCCESS
1,55.045,1400,SUCCESS
2,33.388,28,SUCCESS
3,31.981,1400,SUCCESS
4,31.588,28,SUCCESS
5,,0,LOST
6,32.121,28,SUCCESS
7,32.401,1400,SUCCESS
8,31.407,28,SUCCESS
9,33.805,1400,SUCCESS
10,29.740,28,SUCCESS
11,30.629,1400,SUCCESS
12,31.313,28,SUCCESS
13,32.275,1400,SUCCESS
14,31.926,28,SUCCESS
15,33.273,1400,SUCCESS
16,33.205,28,SUCCESS
17,32.736,1400,SUCCESS
18,32.661,28,SUCCESS
19,32.009,1400,SUCCESS
20,32.150,28,SUCCESS
21,33.270,1400,SUCCESS
22,32.265,28,SUCCESS
23,32.282,1400,SUCCESS
24,32.272,28,SUCCESS
25,33.344,1400,SUCCESS
26,31.077,28,SUCCESS
27,33.030,1400,SUCCESS
28,33.372,28,SUCCESS
29,,0,LOST
30,,0,LOST
31,31.837,1400,SUCCESS
32,,0,LOST
33,32.741,1400,SUCCESS
34,30.861,28,SUCCESS
35,31.657,1400,SUCCESS
36,,0,LOST
37,,0,LOST
38,34.089,28,SUCCESS
39,32.884,1400,SUCCESS
40,32.685,28,SUCCESS
41,30.536,1400,SUCCESS
42,31.170,28,SUCCESS
43,33.257,1400,SUCCESS
44,31.748,28,SUCCESS
45,50.863,1400,SUCCESS
46,32.573,28,SUCCESS
47,39.284,1400,SUCCESS
48,32.889,28,SUCCESS
49,,0,LOST
50,33.402,28,SUCCESS
51,33.282,1400,SUCCESS
52,30.158,28,SUCCESS
53,31.713,1400,SUCCESS
54,32.626,28,SUCCESS
55,32.073,1400,SUCCESS
56,30.196,28,SUCCESS
57,32.201,1400,SUCCESS
58,,0,LOST
59,33.120,1400,SUCCESS
60,32.871,28,SUCCESS
61,44.753,1400,SUCCESS
62,31.633,28,SUCCESS
63,32.609,1400,SUCCESS
64,30.058,28,SUCCESS
65,34.630,1400,SUCCESS
66,32.098,28,SUCCESS
67,50.341,1400,SUCCESS
68,32.359,28,SUCCESS
69,33.516,1400,SUCCESS
70,31.498,28,SUCCESS
71,30.396,1400,SUCCESS
72,51.505,28,SUCCESS
73,31.915,1400,SUCCESS
74,32.763,28,SUCCESS
75,32.993,1400,SUCCESS
76,31.768,28,SUCCESS
77,32.708,1400,SUCCESS
78,32.554,28,SUCCESS
79,32.831,1400,SUCCESS
80,33.656,28,SUCCESS
81,,0,LOST
82,32.129,28,SUCCESS
83,32.232,1400,SUCCESS
84,32.645,28,SUCCESS
85,33.902,1400,SUCCESS
86,32.685,28,SUCCESS
87,62.162,1400,SUCCESS
88,32.113,28,SUCCESS
89,32.562,1400,SUCCESS
90,32.294,28,SUCCESS
91,32.016,1400,SUCCESS
92,32.820,28,SUCCESS
93,,0,LOST
94,32.542,28,SUCCESS
95,33.584,1400,SUCCESS
96,30.990,28,SUCCESS
97,31.976,1400,SUCCESS
98,32.134,28,SUCCESS
99,51.169,1400,SUCCESS
100,32.613,28,SUCCESS
101,31.909,1400,SUCCESS
102,33.491,28,SUCCESS
103,33.016,1400,SUCCESS
104,31.131,28,SUCCESS
105,32.850,1400,SUCCESS
106,31.169,28,SUCCESS
107,33.968,1400,SUCCESS
108,32.863,28,SUCCESS
109,31.999,1400,SUCCESS
110,,0,LOST
111,32.238,1400,SUCCESS
112,62.474,28,SUCCESS
113,32.080,1400,SUCCESS
114,32.536,28,SUCCESS
115,31.968,1400,SUCCESS
116,30.905,28,SUCCESS
117,32.083,1400,SUCCESS
118,32.461,28,SUCCESS
119,44.688,1400,SUCCESS
120,52.026,28,SUCCESS
121,33.030,1400,SUCCESS
122,31.594,28,SUCCESS
123,32.581,1400,SUCCESS
124,31.696,28,SUCCESS
125,33.030,1400,SUCCESS
126,33.019,28,SUCCESS
127,31.922,1400,SUCCESS
128,32.412,28,SUCCESS
129,31.890,1400,SUCCESS
130,32.274,28,SUCCESS
131,34.037,1400,SUCCESS
132,31.340,28,SUCCESS
133,33.316,1400,SUCCESS
134,31.931,28,SUCCESS
135,32.311,1400,SUCCESS
136,32.918,28,SUCCESS
137,31.755,1400,SUCCESS
138,31.958,28,SUCCESS
139,32.778,1400,SUCCESS
140,,0,LOST
141,31.752,1400,SUCCESS
142,32.822,28,SUCCESS
143,33.232,1400,SUCCESS
144,31.591,28,SUCCESS
145,33.868,1400,SUCCESS
146,30.502,28,SUCCESS
147,33.171,1400,SUCCESS
148,32.991,28,SUCCESS
149,34.116,1400,SUCCESS
150,30.839,28,SUCCESS
151,33.121,1400,SUCCESS
152,,0,LOST
153,31.941,1400,SUCCESS
154,32.565,28,SUCCESS
155,,0,LOST
156,32.651,28,SUCCESS
157,31.456,1400,SUCCESS
158,32.370,28,SUCCESS
159,31.096,1400,SUCCESS
160,33.374,28,SUCCESS
161,62.959,1400,SUCCESS
162,32.758,28,SUCCESS
163,33.294,1400,SUCCESS
164,32.147,28,SUCCESS
165,31.676,1400,SUCCESS
166,33.289,28,SUCCESS
167,32.455,1400,SUCCESS
168,30.813,28,SUCCESS
169,31.421,1400,SUCCESS
170,32.487,28,SUCCESS
171,33.100,1400,SUCCESS
172,31.248,28,SUCCESS
173,31.569,1400,SUCCESS
174,34.136,28,SUCCESS
175,30.936,1400,SUCCESS
176,31.459,28,SUCCESS
177,34.198,1400,SUCCESS
178,31.953,28,SUCCESS
179,48.099,1400,SUCCESS
180,30.777,28,SUCCESS
181,33.553,1400,SUCCESS
182,32.271,28,SUCCESS
183,33.110,1400,SUCCESS
184,32.900,28,SUCCESS
185,33.239,1400,SUCCESS
186,32.585,28,SUCCESS
187,31.503,1400,SUCCESS
188,30.464,28,SUCCESS
189,32.495,1400,SUCCESS
190,,0,LOST
191,33.682,1400,SUCCESS
192,29.644,28,SUCCESS
193,31.596,1400,SUCCESS
194,,0,LOST
195,32.879,1400,SUCCESS
196,33.128,28,SUCCESS
197,33.173,1400,SUCCESS
198,34.284,28,SUCCESS
199,31.918,1400,SUCCESS
200,43.182,28,SUCCESS
201,31.533,1400,SUCCESS
202,30.597,28,SUCCESS
203,47.289,1400,SUCCESS
204,32.373,28,SUCCESS
205,33.398,1400,SUCCESS
206,31.377,28,SUCCESS
207,33.099,1400,SUCCESS
208,30.971,28,SUCCESS
209,,0,LOST
210,32.406,28,SUCCESS
211,33.388,1400,SUCCESS
212,31.198,28,SUCCESS
213,,0,LOST
214,31.731,28,SUCCESS
215,31.874,1400,SUCCESS
216,33.377,28,SUCCESS
217,34.478,1400,SUCCESS
218,31.934,28,SUCCESS
219,32.289,1400,SUCCESS
220,32.385,28,SUCCESS
221,32.309,1400,SUCCESS
222,30.679,28,SUCCESS
223,33.437,1400,SUCCESS
224,33.219,28,SUCCESS
225,38.799,1400,SUCCESS
226,32.905,28,SUCCESS
227,32.157,1400,SUCCESS
228,32.129,28,SUCCESS
229,32.335,1400,SUCCESS
230,31.169,28,SUCCESS
231,31.975,1400,SUCCESS
232,32.328,28,SUCCESS
233,32.082,1400,SUCCESS
234,32.457,28,SUCCESS
235,30.883,1400,SUCCESS
236,31.078,28,SUCCESS
237,33.345,1400,SUCCESS
238,31.560,28,SUCCESS
239,33.092,1400,SUCCESS
240,31.759,28,SUCCESS
241,33.600,1400,SUCCESS
242,31.291,28,SUCCESS
243,47.938,1400,SUCCESS
244,32.448,28,SUCCESS
245,32.122,1400,SUCCESS
246,30.705,28,SUCCESS
247,63.128,1400,SUCCESS
248,31.249,28,SUCCESS
249,,0,LOST
250,29.703,28,SUCCESS
251,54.906,1400,SUCCESS
252,32.413,28,SUCCESS
253,32.765,1400,SUCCESS
254,,0,LOST
255,33.119,1400,SUCCESS
256,,0,LOST
257,31.949,1400,SUCCESS
258,32.773,28,SUCCESS
259,33.055,1400,SUCCESS
260,35.138,28,SUCCESS
261,62.522,1400,SUCCESS
262,32.809,28,SUCCESS
263,30.580,1400,SUCCESS
264,31.244,28,SUCCESS
265,32.117,1400,SUCCESS
266,32.259,28,SUCCESS
267,32.778,1400,SUCCESS
268,32.927,28,SUCCESS
269,33.614,1400,SUCCESS
270,33.664,28,SUCCESS
271,33.073,1400,SUCCESS
272,31.227,28,SUCCESS
273,33.452,1400,SUCCESS
274,30.944,28,SUCCESS
275,31.282,1400,SUCCESS
276,31.400,28,SUCCESS
277,34.060,1400,SUCCESS
278,31.204,28,SUCCESS
279,33.200,1400,SUCCESS
280,,0,LOST
281,32.111,1400,SUCCESS
282,,0,LOST
283,,0,LOST
284,31.949,28,SUCCESS
285,32.032,1400,SUCCESS
286,31.505,28,SUCCESS
287,31.958,1400,SUCCESS
288,33.155,28,SUCCESS
289,32.071,1400,SUCCESS
290,,0,LOST
291,33.929,1400,SUCCESS
292,31.639,28,SUCCESS
293,33.680,1400,SUCCESS
294,31.902,28,SUCCESS
295,32.840,1400,SUCCESS
296,31.269,28,SUCCESS
297,31.855,1400,SUCCESS
298,30.837,28,SUCCESS
