sequence_number,rtt_ms,bytes_received,status
0,0.299,28,SUCCESS
1,0.253,1400,SUCCESS
2,0.227,28,SUCCESS
3,0.219,1400,SUCCESS
4,0.167,28,SUCCESS
5,0.264,1400,SUCCESS
6,0.178,28,SUCCESS
7,0.221,1400,SUCCESS
8,0.162,28,SUCCESS
9,0.216,1400,SUCCESS
10,0.169,28,SUCCESS
11,0.212,1400,SUCCESS
12,0.169,28,SUCCESS
13,0.199,1400,SUCCESS
14,0.166,28,SUCCESS
15,0.245,1400,SUCCESS
16,0.202,28,SUCCESS
17,0.238,1400,SUCCESS
18,0.184,28,SUCCESS
19,0.203,1400,SUCCESS
20,0.163,28,SUCCESS
21,0.215,1400,SUCCESS
22,0.131,28,SUCCESS
23,0.185,1400,SUCCESS
24,0.159,28,SUCCESS
25,0.200,1400,SUCCESS
26,0.162,28,SUCCESS
27,0.202,1400,SUCCESS
28,0.165,28,SUCCESS
29,0.208,1400,SUCCESS
30,0.157,28,SUCCESS
31,0.209,1400,SUCCESS
32,0.152,28,SUCCESS
33,0.210,1400,SUCCESS
34,0.167,28,SUCCESS
35,0.240,1400,SUCCESS
36,0.191,28,SUCCESS
37,0.244,1400,SUCCESS
38,0.177,28,SUCCESS
39,0.218,1400,SUCCESS
40,0.180,28,SUCCESS
41,0.217,1400,SUCCESS
42,0.168,28,SUCCESS
43,0.224,1400,SUCCESS
44,0.163,28,SUCCESS
45,0.205,1400,SUCCESS
46,0.149,28,SUCCESS
47,0.210,1400,SUCCESS
48,0.155,28,SUCCESS
49,0.206,1400,SUCCESS
50,0.162,28,SUCCESS
51,0.200,1400,SUCCESS
52,0.163,28,SUCCESS
53,0.210,1400,SUCCESS
54,0.160,28,SUCCESS
55,0.210,1400,SUCCESS
56,0.173,28,SUCCESS
57,0.306,1400,SUCCESS
58,0.240,28,SUCCESS
59,0.240,1400,SUCCESS
60,0.178,28,SUCCESS
61,0.235,1400,SUCCESS
62,0.167,28,SUCCESS
63,0.256,1400,SUCCESS
64,0.200,28,SUCCESS
65,0.220,1400,SUCCESS
66,0.161,28,SUCCESS
67,0.210,1400,SUCCESS
68,0.166,28,SUCCESS
69,0.214,1400,SUCCESS
70,0.165,28,SUCCESS
71,0.216,1400,SUCCESS
72,0.165,28,SUCCESS
73,0.215,1400,SUCCESS
74,0.178,28,SUCCESS
75,0.244,1400,SUCCESS
76,0.190,28,SUCCESS
77,0.243,1400,SUCCESS
78,0.203,28,SUCCESS
79,0.215,1400,SUCCESS
80,0.178,28,SUCCESS
81,0.231,1400,SUCCESS
82,0.170,28,SUCCESS
83,0.205,1400,SUCCESS
84,0.164,28,SUCCESS
85,0.203,1400,SUCCESS
86,0.162,28,SUCCESS
87,0.206,1400,SUCCESS
88,0.156,28,SUCCESS
89,0.202,1400,SUCCESS
90,0.149,28,SUCCESS
