sequence_number,rtt_ms,bytes_received,status
0,,0,LOST
1,64.160,1328,SUCCESS
2,63.496,29,SUCCESS
3,65.426,1328,SUCCESS
4,62.736,29,SUCCESS
5,63.215,1328,SUCCESS
6,,0,LOST
7,62.335,1328,SUCCESS
8,62.034,29,SUCCESS
9,61.931,1328,SUCCESS
10,60.931,29,SUCCESS
11,71.913,1328,SUCCESS
12,59.622,29,SUCCESS
13,,0,LOST
14,62.376,29,SUCCESS
15,,0,LOST
16,,0,LOST
17,,0,LOST
18,,0,LOST
19,64.546,1328,SUCCESS
20,60.739,29,SUCCESS
21,65.719,1328,SUCCESS
22,63.575,29,SUCCESS
23,63.972,1328,SUCCESS
24,62.654,29,SUCCESS
25,64.584,1328,SUCCESS
26,62.510,29,SUCCESS
27,63.648,1328,SUCCESS
28,64.085,29,SUCCESS
29,95.214,1328,SUCCESS
30,63.439,29,SUCCESS
31,65.235,1328,SUCCESS
32,61.259,29,SUCCESS
33,64.019,1328,SUCCESS
34,61.462,29,SUCCESS
35,63.068,1328,SUCCESS
36,63.588,29,SUCCESS
37,64.466,1328,SUCCESS
38,62.830,29,SUCCESS
39,64.791,1328,SUCCESS
40,62.670,29,SUCCESS
41,,0,LOST
42,62.411,29,SUCCESS
43,,0,LOST
44,92.846,29,SUCCESS
45,63.801,1328,SUCCESS
46,63.774,29,SUCCESS
47,64.372,1328,SUCCESS
48,,0,LOST
49,64.467,1328,SUCCESS
50,62.441,29,SUCCESS
51,65.683,1328,SUCCESS
52,78.626,29,SUCCESS
53,63.696,1328,SUCCESS
54,60.915,29,SUCCESS
55,63.993,1328,SUCCESS
56,62.753,29,SUCCESS
57,,0,LOST
58,63.917,29,SUCCESS
59,63.127,1328,SUCCESS
60,63.696,29,SUCCESS
61,65.949,1328,SUCCESS
62,65.301,29,SUCCESS
63,67.054,1328,SUCCESS
64,64.845,29,SUCCESS
65,65.957,1328,SUCCESS
66,62.224,29,SUCCESS
67,64.027,1328,SUCCESS
68,,0,LOST
69,80.298,1328,SUCCESS
70,61.579,29,SUCCESS
71,65.587,1328,SUCCESS
72,62.692,29,SUCCESS
73,63.233,1328,SUCCESS
74,60.904,29,SUCCESS
75,62.379,1328,SUCCESS
76,65.134,29,SUCCESS
77,63.654,1328,SUCCESS
78,62.669,29,SUCCESS
79,63.420,1328,SUCCESS
80,,0,LOST
81,72.243,1328,SUCCESS
82,65.187,29,SUCCESS
83,63.026,1328,SUCCESS
84,62.397,29,SUCCESS
85,64.434,1328,SUCCESS
86,,0,LOST
87,65.855,1328,SUCCESS
88,63.783,29,SUCCESS
89,71.106,1328,SUCCESS
90,86.846,29,SUCCESS
91,64.984,1328,SUCCESS
92,62.959,29,SUCCESS
93,,0,LOST
94,92.717,29,SUCCESS
95,64.669,1328,SUCCESS
96,62.061,29,SUCCESS
97,63.349,1328,SUCCESS
