sequence_number,rtt_ms,bytes_received,status
0,0.308,29,SUCCESS
1,0.119,1328,SUCCESS
2,0.096,29,SUCCESS
3,0.095,1328,SUCCESS
4,0.087,29,SUCCESS
5,0.095,1328,SUCCESS
6,0.110,29,SUCCESS
7,0.094,1328,SUCCESS
8,0.097,29,SUCCESS
9,0.094,1328,SUCCESS
10,0.088,29,SUCCESS
11,0.091,1328,SUCCESS
12,0.082,29,SUCCESS
13,0.087,1328,SUCCESS
14,0.082,29,SUCCESS
15,0.086,1328,SUCCESS
16,0.088,29,SUCCESS
17,0.102,1328,SUCCESS
18,0.089,29,SUCCESS
19,0.095,1328,SUCCESS
20,0.090,29,SUCCESS
21,0.095,1328,SUCCESS
22,0.098,29,SUCCESS
23,0.095,1328,SUCCESS
24,0.089,29,SUCCESS
25,0.087,1328,SUCCESS
26,0.078,29,SUCCESS
27,0.093,1328,SUCCESS
28,0.081,29,SUCCESS
29,0.088,1328,SUCCESS
30,0.083,29,SUCCESS
31,0.085,1328,SUCCESS
32,0.084,29,SUCCESS
33,0.088,1328,SUCCESS
34,0.086,29,SUCCESS
35,0.093,1328,SUCCESS
36,0.089,29,SUCCESS
37,0.095,1328,SUCCESS
38,0.093,29,SUCCESS
39,0.096,1328,SUCCESS
40,0.093,29,SUCCESS
41,0.094,1328,SUCCESS
42,0.088,29,SUCCESS
43,0.095,1328,SUCCESS
44,0.089,29,SUCCESS
45,0.095,1328,SUCCESS
46,0.089,29,SUCCESS
47,0.093,1328,SUCCESS
48,0.092,29,SUCCESS
49,0.100,1328,SUCCESS
50,0.090,29,SUCCESS
51,0.095,1328,SUCCESS
52,0.099,29,SUCCESS
53,0.092,1328,SUCCESS
54,0.100,29,SUCCESS
55,0.094,1328,SUCCESS
56,0.093,29,SUCCESS
57,0.093,1328,SUCCESS
58,0.090,29,SUCCESS
59,0.096,1328,SUCCESS
60,0.090,29,SUCCESS
61,0.096,1328,SUCCESS
62,0.088,29,SUCCESS
63,0.096,1328,SUCCESS
64,0.089,29,SUCCESS
65,0.094,1328,SUCCESS
66,0.084,29,SUCCESS
67,0.089,1328,SUCCESS
68,0.088,29,SUCCESS
69,0.091,1328,SUCCESS
70,0.086,29,SUCCESS
71,0.099,1328,SUCCESS
72,0.092,29,SUCCESS
73,0.094,1328,SUCCESS
74,0.089,29,SUCCESS
75,0.094,1328,SUCCESS
76,0.088,29,SUCCESS
77,0.089,1328,SUCCESS
78,0.095,29,SUCCESS
79,0.092,1328,SUCCESS
80,0.089,29,SUCCESS
81,0.098,1328,SUCCESS
82,0.090,29,SUCCESS
83,0.093,1328,SUCCESS
84,0.086,29,SUCCESS
85,0.087,1328,SUCCESS
86,0.081,29,SUCCESS
87,0.100,1328,SUCCESS
88,0.091,29,SUCCESS
89,0.096,1328,SUCCESS
90,0.090,29,SUCCESS
91,0.094,1328,SUCCESS
92,0.090,29,SUCCESS
93,0.095,1328,SUCCESS
94,0.096,29,SUCCESS
95,0.094,1328,SUCCESS
96,0.089,29,SUCCESS
97,0.097,1328,SUCCESS
98,0.088,29,SUCCESS
99,0.097,1328,SUCCESS
100,0.087,29,SUCCESS
101,0.094,1328,SUCCESS
102,0.096,29,SUCCESS
103,0.094,1328,SUCCESS
104,0.088,29,SUCCESS
105,0.092,1328,SUCCESS
106,0.084,29,SUCCESS
107,0.089,1328,SUCCESS
108,0.085,29,SUCCESS
109,0.095,1328,SUCCESS
110,0.084,29,SUCCESS
111,0.090,1328,SUCCESS
112,0.085,29,SUCCESS
113,0.095,1328,SUCCESS
114,0.094,29,SUCCESS
115,0.089,1328,SUCCESS
116,0.081,29,SUCCESS
117,0.099,1328,SUCCESS
118,0.088,29,SUCCESS
119,0.104,1328,SUCCESS
120,0.094,29,SUCCESS
121,0.094,1328,SUCCESS
122,0.092,29,SUCCESS
123,0.095,1328,SUCCESS
124,0.094,29,SUCCESS
125,0.098,1328,SUCCESS
126,0.090,29,SUCCESS
127,0.094,1328,SUCCESS
128,0.089,29,SUCCESS
129,0.105,1328,SUCCESS
130,0.090,29,SUCCESS
131,0.093,1328,SUCCESS
132,0.089,29,SUCCESS
133,0.097,1328,SUCCESS
134,0.090,29,SUCCESS
135,0.096,1328,SUCCESS
136,0.092,29,SUCCESS
137,0.094,1328,SUCCESS
138,0.087,29,SUCCESS
139,0.105,1328,SUCCESS
140,0.089,29,SUCCESS
141,0.094,1328,SUCCESS
142,0.089,29,SUCCESS
143,0.094,1328,SUCCESS
144,0.152,29,SUCCESS
145,0.102,1328,SUCCESS
146,0.087,29,SUCCESS
147,0.087,1328,SUCCESS
148,0.078,29,SUCCESS
